id,symbol,date,open_price,close_price,high_price,low_price,volume,prediction
660,MSFT,2024-05-29,425.69,429.17,430.94,425.69,15517130,
659,MSFT,2024-05-30,424.3,414.67,424.3,414.24,28424847,
658,MSFT,2024-05-31,416.75,415.13,416.75,404.51,47995250,
657,MSFT,2024-06-03,415.525,413.52,416.43,408.9234,17484675,
656,MSFT,2024-06-04,412.43,416.07,416.44,409.675,14348917,
655,MSFT,2024-06-05,417.81,424.01,424.08,416.3,16988038,
654,MSFT,2024-06-06,424.01,424.52,425.31,420.58,14861251,
653,MSFT,2024-06-07,426.2,423.85,426.28,423.0,13621650,
652,MSFT,2024-06-10,424.7,427.87,428.08,423.89,14003034,
651,MSFT,2024-06-11,425.475,432.68,432.82,425.25,14551101,
650,MSFT,2024-06-12,435.32,441.06,443.4,433.25,22366233,
649,MSFT,2024-06-13,440.85,441.58,443.39,439.37,15960565,
648,MSFT,2024-06-14,438.275,442.57,443.1376,436.721,13581985,
647,MSFT,2024-06-17,442.585,448.37,450.94,440.72,20790030,
646,MSFT,2024-06-18,449.705,446.34,450.14,444.89,17112504,
645,MSFT,2024-06-20,446.3,445.7,446.53,441.27,19877378,
644,MSFT,2024-06-21,447.38,449.78,450.58,446.51,34486172,
643,MSFT,2024-06-24,449.8,447.67,452.75,446.41,15913719,
642,MSFT,2024-06-25,448.25,450.95,451.42,446.75,16747529,
641,MSFT,2024-06-26,449.0,452.16,453.6,448.19,16507030,
640,MSFT,2024-06-27,452.175,452.85,456.17,451.77,14806324,
639,MSFT,2024-06-28,453.07,446.95,455.38,446.41,28362271,
638,MSFT,2024-07-01,448.66,456.73,457.37,445.66,17662818,
637,MSFT,2024-07-02,453.2,459.28,459.59,453.113,13979779,
636,MSFT,2024-07-03,458.19,460.77,461.02,457.88,9932830,
635,MSFT,2024-07-05,459.61,467.56,468.35,458.965,16000290,
634,MSFT,2024-07-08,466.55,466.24,467.7,464.46,12962321,
633,MSFT,2024-07-09,467.0,459.54,467.33,458.0,17228507,
632,MSFT,2024-07-10,461.22,466.25,466.46,458.855,18196100,
631,MSFT,2024-07-11,462.98,454.7,464.78,451.55,23111175,
630,MSFT,2024-07-12,454.325,453.55,456.36,450.645,16324274,
629,MSFT,2024-07-15,453.3,453.96,457.26,451.43,14429447,
628,MSFT,2024-07-16,454.22,449.52,454.3,446.66,17175679,
627,MSFT,2024-07-17,442.59,443.52,444.85,439.18,21754021,
626,MSFT,2024-07-18,444.34,440.37,444.65,434.4,20794822,
625,MSFT,2024-07-19,433.1,437.11,441.14,432.0,20940417,
624,MSFT,2024-07-22,441.79,442.94,444.6,438.9125,15808755,
623,MSFT,2024-07-23,443.895,444.85,448.39,443.1,13107050,
622,MSFT,2024-07-24,440.45,428.9,441.48,427.585,26805800,
621,MSFT,2024-07-25,428.8,418.4,429.8,417.51,29943795,
620,MSFT,2024-07-26,418.2,425.27,428.915,417.27,23583839,
619,MSFT,2024-07-29,431.58,426.73,432.15,424.7042,15125836,
618,MSFT,2024-07-30,427.72,422.92,429.05,417.36,32687578,
617,MSFT,2024-07-31,420.495,418.35,421.775,412.21,42891366,
616,MSFT,2024-08-01,420.785,417.11,427.46,413.0901,30296400,
615,MSFT,2024-08-02,412.49,408.49,415.0,404.34,29437900,
614,MSFT,2024-08-05,389.17,395.15,401.04,385.58,40709238,
613,MSFT,2024-08-06,400.0,399.61,405.67,398.5,24946525,
612,MSFT,2024-08-07,408.635,398.43,410.08,397.47,20650906,
611,MSFT,2024-08-08,402.44,402.69,405.86,399.9407,20203030,
610,MSFT,2024-08-09,404.03,406.02,408.05,402.2624,19276666,
609,MSFT,2024-08-12,407.06,406.81,408.76,404.2434,16762883,
608,MSFT,2024-08-13,409.59,414.01,414.95,409.57,19414271,
607,MSFT,2024-08-14,414.8,416.86,417.72,412.4456,18266980,
606,MSFT,2024-08-15,419.8,421.03,421.11,417.66,20752144,
605,MSFT,2024-08-16,420.6,418.47,421.34,417.3,22775593,
604,MSFT,2024-08-19,418.96,421.53,421.75,416.46,15233957,
603,MSFT,2024-08-20,421.7,424.8,425.86,421.64,16387581,
602,MSFT,2024-08-21,424.075,424.14,426.4,421.72,16067298,
601,MSFT,2024-08-22,424.36,415.55,426.7899,414.61,19361901,
600,MSFT,2024-08-23,416.98,416.79,419.26,412.09,18493784,
599,MSFT,2024-08-26,416.365,413.49,417.2799,411.34,13152830,
598,MSFT,2024-08-27,412.86,413.84,414.36,410.25,13492911,
597,MSFT,2024-08-28,414.88,410.6,415.0,407.31,14882660,
596,MSFT,2024-08-29,414.94,413.12,422.05,410.6,17045241,
595,MSFT,2024-08-30,415.6,417.14,417.49,412.13,24308324,
594,MSFT,2024-09-03,417.91,409.44,419.88,407.03,20313603,
593,MSFT,2024-09-04,405.91,408.9,411.24,404.37,14886710,
592,MSFT,2024-09-05,407.62,408.39,413.1,406.13,14195516,
591,MSFT,2024-09-06,409.06,401.7,410.65,400.8,19609526,
590,MSFT,2024-09-09,407.24,405.72,408.65,402.15,15295134,
589,MSFT,2024-09-10,408.2,414.2,416.33,407.7,19594287,
588,MSFT,2024-09-11,415.5,423.04,423.99,409.58,19266923,
587,MSFT,2024-09-12,423.31,427.0,427.3692,419.75,17418759,
586,MSFT,2024-09-13,425.825,430.59,431.83,425.46,15874555,
585,MSFT,2024-09-16,430.6,431.34,433.53,428.22,13834697,
584,MSFT,2024-09-17,440.23,435.15,441.85,432.27,18874231,
583,MSFT,2024-09-18,435.0,430.81,436.03,430.41,18898042,
582,MSFT,2024-09-19,441.225,438.69,441.5,436.9,21706559,
581,MSFT,2024-09-20,437.22,435.27,439.24,434.22,55167106,
580,MSFT,2024-09-23,434.28,433.51,436.46,430.3889,15128891,
579,MSFT,2024-09-24,433.0,429.17,433.35,426.1,17015754,
578,MSFT,2024-09-25,429.83,432.11,433.119,428.57,13396364,
577,MSFT,2024-09-26,435.085,431.31,435.3,429.13,14492044,
576,MSFT,2024-09-27,431.52,428.02,431.85,427.47,14896131,
575,MSFT,2024-09-30,428.21,430.3,430.42,425.37,16854606,
574,MSFT,2024-10-01,428.45,420.69,428.48,418.81,19092945,
573,MSFT,2024-10-02,422.58,417.13,422.82,416.71,16582257,
572,MSFT,2024-10-03,417.63,416.54,419.55,414.29,13686421,
571,MSFT,2024-10-04,418.24,416.06,419.75,414.97,19190913,
570,MSFT,2024-10-07,416.0,409.54,417.11,409.0,20919761,
569,MSFT,2024-10-08,410.9,414.71,415.66,408.17,19229261,
568,MSFT,2024-10-09,415.86,417.46,420.38,414.3,14974257,
567,MSFT,2024-10-10,415.225,415.84,417.35,413.15,13848376,
566,MSFT,2024-10-11,416.135,416.32,417.13,413.25,14144944,
565,MSFT,2024-10-14,417.77,419.14,424.04,417.52,16653086,
564,MSFT,2024-10-15,422.18,418.74,422.48,415.26,18900201,
563,MSFT,2024-10-16,415.17,416.12,416.36,410.48,15508932,
562,MSFT,2024-10-17,422.36,416.72,422.5,415.59,14820004,
561,MSFT,2024-10-18,417.14,418.16,419.65,416.2601,17145317,
661,MSFT,2024-10-19,0.0,0.0,0.0,0.0,0,261.25482177734375
662,MSFT,2024-10-20,0.0,0.0,0.0,0.0,0,229.19053649902344
663,MSFT,2024-10-21,0.0,0.0,0.0,0.0,0,229.14524841308594
664,MSFT,2024-10-22,0.0,0.0,0.0,0.0,0,229.18678283691406
665,MSFT,2024-10-23,0.0,0.0,0.0,0.0,0,229.18678283691406
666,MSFT,2024-10-24,0.0,0.0,0.0,0.0,0,229.18678283691406
667,MSFT,2024-10-25,0.0,0.0,0.0,0.0,0,229.18678283691406
668,MSFT,2024-10-26,0.0,0.0,0.0,0.0,0,229.18678283691406
669,MSFT,2024-10-27,0.0,0.0,0.0,0.0,0,229.18678283691406
670,MSFT,2024-10-28,0.0,0.0,0.0,0.0,0,229.18678283691406
671,MSFT,2024-10-29,0.0,0.0,0.0,0.0,0,229.18678283691406
672,MSFT,2024-10-30,0.0,0.0,0.0,0.0,0,229.18678283691406
673,MSFT,2024-10-31,0.0,0.0,0.0,0.0,0,229.18678283691406
674,MSFT,2024-11-01,0.0,0.0,0.0,0.0,0,229.18678283691406
675,MSFT,2024-11-02,0.0,0.0,0.0,0.0,0,219.42808532714844
676,MSFT,2024-11-03,0.0,0.0,0.0,0.0,0,219.13284301757812
677,MSFT,2024-11-04,0.0,0.0,0.0,0.0,0,203.6778106689453
678,MSFT,2024-11-05,0.0,0.0,0.0,0.0,0,202.0316925048828
679,MSFT,2024-11-06,0.0,0.0,0.0,0.0,0,197.98109436035156
680,MSFT,2024-11-07,0.0,0.0,0.0,0.0,0,198.06240844726562
681,MSFT,2024-11-08,0.0,0.0,0.0,0.0,0,193.91180419921875
682,MSFT,2024-11-09,0.0,0.0,0.0,0.0,0,192.3398895263672
683,MSFT,2024-11-10,0.0,0.0,0.0,0.0,0,176.77195739746094
684,MSFT,2024-11-11,0.0,0.0,0.0,0.0,0,167.4939422607422
685,MSFT,2024-11-12,0.0,0.0,0.0,0.0,0,162.62347412109375
686,MSFT,2024-11-13,0.0,0.0,0.0,0.0,0,158.459228515625
687,MSFT,2024-11-14,0.0,0.0,0.0,0.0,0,154.83279418945312
688,MSFT,2024-11-15,0.0,0.0,0.0,0.0,0,153.85040283203125
689,MSFT,2024-11-16,0.0,0.0,0.0,0.0,0,146.9406280517578
690,MSFT,2024-11-17,0.0,0.0,0.0,0.0,0,142.86367797851562
691,MSFT,2024-11-18,0.0,0.0,0.0,0.0,0,117.05284881591797
692,MSFT,2024-11-19,0.0,0.0,0.0,0.0,0,141.49681091308594
693,MSFT,2024-11-20,0.0,0.0,0.0,0.0,0,141.49681091308594
694,MSFT,2024-11-21,0.0,0.0,0.0,0.0,0,141.49681091308594
695,MSFT,2024-11-22,0.0,0.0,0.0,0.0,0,141.49681091308594
696,MSFT,2024-11-23,0.0,0.0,0.0,0.0,0,141.49681091308594
697,MSFT,2024-11-24,0.0,0.0,0.0,0.0,0,141.49681091308594
698,MSFT,2024-11-25,0.0,0.0,0.0,0.0,0,141.49681091308594
699,MSFT,2024-11-26,0.0,0.0,0.0,0.0,0,141.49681091308594
700,MSFT,2024-11-27,0.0,0.0,0.0,0.0,0,141.49681091308594
701,MSFT,2024-11-28,0.0,0.0,0.0,0.0,0,139.69985961914062
702,MSFT,2024-11-29,0.0,0.0,0.0,0.0,0,139.69985961914062
703,MSFT,2024-11-30,0.0,0.0,0.0,0.0,0,142.9728240966797
704,MSFT,2024-12-01,0.0,0.0,0.0,0.0,0,145.45285034179688
705,MSFT,2024-12-02,0.0,0.0,0.0,0.0,0,146.8322296142578
706,MSFT,2024-12-03,0.0,0.0,0.0,0.0,0,152.05682373046875
707,MSFT,2024-12-04,0.0,0.0,0.0,0.0,0,160.1497802734375
708,MSFT,2024-12-05,0.0,0.0,0.0,0.0,0,161.99256896972656
709,MSFT,2024-12-06,0.0,0.0,0.0,0.0,0,163.65994262695312
710,MSFT,2024-12-07,0.0,0.0,0.0,0.0,0,166.62429809570312
711,MSFT,2024-12-08,0.0,0.0,0.0,0.0,0,170.1675262451172
712,MSFT,2024-12-09,0.0,0.0,0.0,0.0,0,170.88731384277344
713,MSFT,2024-12-10,0.0,0.0,0.0,0.0,0,170.88731384277344
714,MSFT,2024-12-11,0.0,0.0,0.0,0.0,0,172.1326141357422
715,MSFT,2024-12-12,0.0,0.0,0.0,0.0,0,176.85569763183594
716,MSFT,2024-12-13,0.0,0.0,0.0,0.0,0,179.15037536621094
717,MSFT,2024-12-14,0.0,0.0,0.0,0.0,0,178.5658416748047
718,MSFT,2024-12-15,0.0,0.0,0.0,0.0,0,182.41282653808594
719,MSFT,2024-12-16,0.0,0.0,0.0,0.0,0,183.2259521484375
720,MSFT,2024-12-17,0.0,0.0,0.0,0.0,0,185.8958740234375
721,MSFT,2024-12-18,0.0,0.0,0.0,0.0,0,116.77902221679688
722,MSFT,2024-12-19,0.0,0.0,0.0,0.0,0,140.95535278320312
723,MSFT,2024-12-20,0.0,0.0,0.0,0.0,0,140.95535278320312
724,MSFT,2024-12-21,0.0,0.0,0.0,0.0,0,140.95535278320312
725,MSFT,2024-12-22,0.0,0.0,0.0,0.0,0,140.95535278320312
726,MSFT,2024-12-23,0.0,0.0,0.0,0.0,0,140.95535278320312
727,MSFT,2024-12-24,0.0,0.0,0.0,0.0,0,140.95535278320312
728,MSFT,2024-12-25,0.0,0.0,0.0,0.0,0,140.95535278320312
729,MSFT,2024-12-26,0.0,0.0,0.0,0.0,0,140.95535278320312
730,MSFT,2024-12-27,0.0,0.0,0.0,0.0,0,140.95535278320312
731,MSFT,2024-12-28,0.0,0.0,0.0,0.0,0,139.1584014892578
732,MSFT,2024-12-29,0.0,0.0,0.0,0.0,0,139.1584014892578
733,MSFT,2024-12-30,0.0,0.0,0.0,0.0,0,142.45191955566406
734,MSFT,2024-12-31,0.0,0.0,0.0,0.0,0,143.9036865234375
735,MSFT,2025-01-01,0.0,0.0,0.0,0.0,0,145.2659149169922
736,MSFT,2025-01-02,0.0,0.0,0.0,0.0,0,148.53384399414062
737,MSFT,2025-01-03,0.0,0.0,0.0,0.0,0,154.85794067382812
738,MSFT,2025-01-04,0.0,0.0,0.0,0.0,0,154.7684783935547
739,MSFT,2025-01-05,0.0,0.0,0.0,0.0,0,155.7646942138672
740,MSFT,2025-01-06,0.0,0.0,0.0,0.0,0,158.07435607910156
741,MSFT,2025-01-07,0.0,0.0,0.0,0.0,0,158.85488891601562
742,MSFT,2025-01-08,0.0,0.0,0.0,0.0,0,161.66261291503906
743,MSFT,2025-01-09,0.0,0.0,0.0,0.0,0,163.30787658691406
744,MSFT,2025-01-10,0.0,0.0,0.0,0.0,0,164.22601318359375
745,MSFT,2025-01-11,0.0,0.0,0.0,0.0,0,163.91282653808594
746,MSFT,2025-01-12,0.0,0.0,0.0,0.0,0,166.00799560546875
747,MSFT,2025-01-13,0.0,0.0,0.0,0.0,0,167.061767578125
748,MSFT,2025-01-14,0.0,0.0,0.0,0.0,0,166.62213134765625
749,MSFT,2025-01-15,0.0,0.0,0.0,0.0,0,166.49554443359375
750,MSFT,2025-01-16,0.0,0.0,0.0,0.0,0,177.07501220703125
